teammates-648425-648425,4429,3682,3638,3713,3846,3538,3719,3725,3587,3492,3736,3814,3988,3827,3667,3605,3835,3698,3764,3773,3644,3688,3882,3511,3523,3614,3519,3519,4089,4023,3586,3496,3869,3845,3597,3668,3782,3542,3812,3740,3588,3500,3870,3997,3675,3556,3662,4021,3791,3772
teammates-ce4463-ce4463,3903,3880,3823,3935,3861,3657,3546,3604,3817,3959,3854,3548,3587,3600,3830,3796,3654,3966,3937,3854,3615,4049,3654,3586,3820,3746,3677,4292,4173,4101,3636,4117,3817,3615,3684,3721,3885,3782,3611,3649,3829,4007,3638,3708,3687,3640,3881,3708,4010,3674
teammates-648425-48b67b,10333,8519,8501,8428,8529,9061,8295,8885,8497,8306,9058,8468,8725,8799,8067,8795,8194,8593,8886,8698,8412,8426,8630,8551,8553,8557,8161,8076,8059,8657,8022,8366,8946,9012,8048,9179,8270,8785,8835,8532,8903,9052,8473,8196,8598,8720,8403,9012,8156,8445
teammates-48b67b-48b67b,3867,3684,3655,3545,3593,3843,3853,3493,3496,3424,3790,3747,3806,4111,3946,4148,3612,4110,3542,3593,3586,3912,3882,3798,3840,4076,3561,3649,3818,3810,3895,3743,3828,3824,4011,3701,3648,3704,3931,3930,3994,3517,3607,3623,3650,3984,3689,3694,3941,3681
teammates-83f518-83f518,3603,3631,3738,3739,3658,3506,3750,3822,3597,3593,3683,3727,3518,3566,3952,3872,3719,3531,3781,3747,4129,3650,3598,3521,3798,3935,3560,3568,3896,3773,3707,3937,3672,3547,3759,3721,3602,3646,3435,3504,3659,3582,3803,3665,3957,3910,3729,3685,3823,3628
teammates-f33d0b-ce4463,8723,9237,8455,8438,8380,8869,8291,9116,8215,9006,9206,8799,8662,8414,8366,8375,8656,8649,8696,9108,9538,9001,8410,8601,8828,8401,8376,8565,8401,9575,9199,8732,9166,8551,8347,8534,8249,9042,9309,8354,8965,8970,8899,8492,8807,8607,9107,8880,8568,9390
teammates-48b67b-83f518,9393,8623,8818,9160,8290,8679,9126,8967,8722,8397,8352,8542,8243,9093,8653,8733,8165,8414,8334,8981,9040,8644,9293,8436,8171,8792,8319,8632,8676,8295,8305,8905,9075,8269,8463,8498,8589,8465,9001,8248,8515,9063,8225,8457,8412,9356,8952,9011,8283,8344
teammates-f33d0b-83f518,8249,8645,8420,8920,8430,9025,8418,8230,8581,8602,8532,8536,7956,8714,7962,7980,8505,8788,8811,8596,8360,8148,8478,8962,8968,8742,8188,8556,8585,8436,8791,8507,8095,8179,8683,7985,8294,8833,8882,8472,8113,8158,8111,8326,8081,8145,8906,8406,8188,8248
teammates-83f518-48b67b,8599,8850,8904,8999,8637,8607,9136,9157,9275,8662,8608,9130,8825,8983,9146,8273,8260,8496,8445,9039,8655,8411,8737,8161,8278,9047,8628,8400,8369,8314,8450,9054,8370,8396,8905,9064,8620,8997,9243,8820,8288,8707,8795,8414,8466,8562,9042,9171,8626,8885
teammates-48b67b-648425,9078,8676,8963,8789,8890,8668,8361,8369,8300,8388,8985,9195,8989,9226,8244,9113,8588,8998,8613,8753,8142,8205,8788,8507,9082,8186,8313,8616,8151,8433,8472,9061,8864,8846,8485,9332,8087,8532,8771,8594,9320,9141,8120,8072,8178,8230,8596,8973,8226,8103
teammates-83f518-f33d0b,8705,8327,8762,8756,8200,8840,8175,8049,7879,8542,8567,8937,7914,8503,8862,8084,8013,8260,8440,8216,7950,8311,8120,8882,8265,8400,8195,8188,8864,8267,8477,8509,8336,8118,8644,8295,8151,8343,8897,8064,7969,8128,8018,8576,8638,8736,8259,8211,8169,8215
teammates-ce4463-f33d0b,9694,8959,8532,8594,8740,9125,8777,9038,8435,8413,8244,8201,8290,8387,8535,9715,8341,8427,9019,9379,9198,9606,8493,8495,8863,8936,8577,8507,8464,9128,8273,8468,8499,8613,8957,8762,8621,8923,8895,8231,9366,8484,8967,8801,8438,9411,9460,9026,8559,8817
teammates-f33d0b-f33d0b,3635,3547,3801,3550,4024,3917,3523,3445,3726,3604,3672,3914,3470,3569,3557,3636,3543,3602,3613,3786,3600,3954,3570,3789,3506,3540,3575,3556,3908,3644,3922,3709,3604,3494,3636,3633,3672,3602,3799,3935,3724,3812,4047,3803,3993,4035,3923,3925,3714,3651
